image,title,price,description,features,sku,spec_2,spec_3,spec_4,Weight,category,sub-category,sub-su-category,user-agent
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/39/813776/1.jpg?8603,STALLION Royal Stallion 10kg, 5 100,the royal stallion parboiled rice 10kg on jumia is specially packaged for you and your family to enjoy a healthy meal of rice. get this quality grain thai parboiled rice at the best price in nigeria. this rice is specially processed and packed by royal stallion this is sure to be your family s favourite delight. the royal stallion royal stallion parboiled rice cooks into a firmer and less sticky rice. unlike the regular rice in the market royal stallion rice is fast and easy to cook. it can also serve as a gift for families.it is specially packed for your family and will last for a while before it finishes. treat your family to a sumptuous meal of rice and try out new recipes like the coconut rice or paella rice and serve your rice with ofada stew. royal stallion rice is your go to brand for celebration. it is rich in calcium potassium and vitamin b 6. so whether you want to mark your birthday or it s your child s dedication royal stallion rice gives you what you need. your graduation party is not complete without cooking this royal stallion rice. it comes in a handy 10kg sack size that has been well packaged to avoid leakage. store in a dry area and away from pestsbuy royal stallion royal stallion parboiled rice 10kg on jumia at the best price in nigeria.,Size 10kgGolden StandardNon StickyEasy to cookVery nutritiousThai Parboiled,SKU: ST454GR0NPCI8NAFAMZ,NAFDAC No.: N/A,Product Line: IFUCOJ Ventures,Weight (kg): 10,Shop Type: Jumia Mall,Grocery,"Dried Beans, Grains & Rice",Grains & Rice,Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Thunderbird/45.3.0
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/33/809666/1.jpg?5620,Millennial 6 In 1 Food Bundle, 6 500,golden penny spaghetti is a long dried cylindrical pasta that is very tasty does not get soggy and is enjoyed as plain or jollof with or without vegetables and cooks in ten minutes.the mother brand for the indomie family. this pack size and chicken flavor was the first product to be introduced in nigeria. it s the favorite product of kids and is popularly called the indomitable pack.indomie is a unique brand of instant noodles loved by a majority of nigerians. having been in nigeria for the last 31years it has grown to become a household name in nigeria owing to its delightful taste and wholesomeness.the brand has grown to be considered synonymous with quality taste and value. the range of products indomie offers commands a substantial degree of brand loyalty and enviable top of mind status amongst its consumers.mama s pride rice 1kg is a premium quality nigerian grown parboiled rice with natural nutrients and healthy value.mama s pride rice is specifically processed and package with high quality grains. it is stone free fast and easy to cook with a end result that is firm and non sticky. so treat your family to a sumptuous meal at a very affordable cost.,2 Packs Of Mama s Pride 1kg Rice 5 Packs Of Golden Penny Spaghetti 20 Packs Of Indomie Noodle Chicken Flavour 70g5 Sachet Of Power Oil 5 Sachet Of Maggi Signature Jollof 5 Sachet Of Gino Pepper and Onion2 Packs Of Mama s Pride 1kg Rice 5 Packs Of Golden Penny Spaghetti 20 Packs Of Indomie Noodle Chicken Flavour 70g5 Sachet Of Power Oil 5 Sachet Of Maggi Signature Jollof 5 Sachet Of Gino Pepper and Onion,SKU: JU035FF0K4NPENAFAMZ,Product Line: Seven Seven and Eight Resources,Weight (kg): 7,Product Line: Seven Seven and Eight Resources,Weight (kg): 7,Grocery,Food Cupboard,Pasta & Noodles,Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/38/938027/1.jpg?5619,Rice 10kg Vegetable Oil Tomato Paste Salt Knor Chicken, 12 300,the product consists of 10kg mama s pride rice made in nigeria. it is stone free and neatly packed. fortified with nutrients it is delicious. it also comes with 1.5litre of mamador vegetable oil 10 sachets of tasty tom tomato jollof 1kg of mr chef salt a pack of 40 cubes of knorr chicken ducro curry and thyme packs.the product consists of 10kg mama s pride rice made in nigeria. it is stone free and neatly packed. fortified with nutrients it is delicious. it also comes with 1.5litre of mamador vegetable oil 10 sachets of tasty tom tomato jollof 1kg of mr chef salt a pack of 40 cubes of knorr chicken ducro curry and thyme packs.the product consists of 10kg mama s pride rice made in nigeria. it is stone free and neatly packed. fortified with nutrients it is delicious. it also comes with 1.5litre of mamador vegetable oil 10 sachets of tasty tom tomato jollof 1kg of mr chef salt a pack of 40 cubes of knorr chicken ducro curry and thyme packs.,Rice 10kgMamador Pure Vegetable Oil 1.5litreTasty Tom Tomato Jollof Mix 10 sachetsMr Chef salt 1kg Knorr Chicken A pack of 40 cubes.Curry powderThyme powder16 items in total Rice 10kgMamador Pure Vegetable Oil 1.5litreTasty Tom Tomato Jollof Mix 10 sachetsMr Chef salt 1kg Knorr Chicken A pack of 40 cubes.Curry powderThyme powder16 items in total ,SKU: JU035FF0N6KRVNAFAMZ,Production Country: Nigeria,Product Line: Seven Seven and Eight Resources,Product Line: Seven Seven and Eight Resources,Weight (kg): 12,Grocery,"Dried Beans, Grains & Rice",Grains & Rice,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5)AppleWebKit /603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/97/539077/1.jpg?8548,Cap Rice 10kg Mamador Oil Tomato Thyme Curry Knor Chicken, 13 890,the food package consist of top premium brands carefully selected to suit your food preparation needs.bundle consist of 10kg thai parboiled cap rice. it comes with 1.5litre of mamador oil 10 sachets of tasty tom tomato 500g of mr chef salt 50 cubes of knorr chicken stock ducro curry and thyme packs. the food package consist of top premium brands carefully selected to suit your food preparation needs.bundle consist of 10kg thai parboiled cap rice. it comes with 1.5litre of mamador oil 10 sachets of tasty tom tomato 500g of mr chef salt 50 cubes of knorr chicken stock ducro curry and thyme packs. food package consist of top premium brands carefully selected to suit your food preparation needs.bundle consist of 10kg thai parboiled cap rice. it comes with 1.5litre of mamador oil 10 sachets of tasty tom tomato 500g of mr chef salt 50 cubes of knorr chicken stock ducro curry and thyme packs. ,Rice 10KGVegetable Oil 1.5 LitreTomato Paste 10 Sachets500g Mr Chef salt Knorr Chicken stock 1 pack of 50 double cubes.Curry powerThyme ,SKU: JU035FF1M2LMTNAFAMZ,Main Material: Rice,Production Country: Nigeria,Product Line: May Fabulous,Weight (kg): 12,Grocery,"Dried Beans, Grains & Rice",Grains & Rice,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit /537.36 KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/611127/1.jpg?5428,Rich Pure Double Serum For Acne Dark Spots Sunburn Removal 30ml, 2 500,rich pure lightening combined with double active ginseng and red pepper feeds intensely hydrates and revitalizes the skin. it offers a luminous radiance to the complexion by acting in performance without irritating the skin thanks to its ultra violetq solar protectiorich pure lightening combined with double active ginseng and red pepper feeds intensely hydrates and revitalizes the skin. it offers a luminous radiance to the complexion by acting in performance without irritating the skin thanks to its ultra violetq solar protectiorich pure lightening combined with double active ginseng and red pepper feeds intensely hydrates and revitalizes the skin. it offers a luminous radiance to the complexion by acting in performance without irritating the skin thanks to its ultra violetq solar protectiorich pure lightening combined with double active ginseng and red pepper feeds intensely hydrates and revitalizes the skin. it offers a luminous radiance to the complexion by acting in performance without irritating the skin thanks to its ultra violetq solar protectiorich pure lightening combined with double active ginseng and red pepper feeds intensely hydrates and revitalizes the skin. it offers a luminous radiance to the complexion by acting in performance without irritating the skin thanks to its ultra violetq solar protectiorich pure lightening combined with double active ginseng and red pepper feeds intensely hydrates and revitalizes the skin. it offers a luminous radiance to the complexion by acting in performance without irritating the skin thanks to its ultra violetq solar protectio,Clear dark spotsUnclog poresDouble serumFast actionGingseng red pepperFor Acne,SKU: GE779ST02QTYVNAFAMZ,Production Country: China,Product Line: Dalivia beauty shop,Product Line: Dalivia beauty shop,Weight (kg): 0.5,Grocery,Cooking & Baking,"Syrups, Sugars & Sweeteners",Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Thunderbird/45.3.0
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/18/356853/1.jpg?6616,Chivas Regal Scotch Whiskey Extra 70cl, 10 707,as the newest member to our family chivas regal extra will satisfy the desires of the discerning whisky drinker with something exceptional deep in aroma rich in fruitiness and generous in sweetness. it s created with an exceptional blend of rare whiskies combined with malt whiskies aged in sherry casks from the oloroso sherry bodegas in spain. chivas is an inspiration from james and john chivas who pioneered and excelled in the art of blending whiskies in the 19th century. the chivas regal master blender has carried on this expertise in crafting unique and outstanding blends to make chivas regal one of the most generous and tasteful blended scotch whiskies. with chivas regal extra discover an exceptionally rich and generous chivas blend a real tribute to the brothers pioneering mastery in the art of blending legendary and generous whiskies. colin scott the chivas regal master blended created this exclusive blend with whiskies matured in sherry casks as a foundation to a rich and generous taste along with some of our rarest malts for outstanding and deep flavours. chivas regal extra takes the unequalled chivas nose style taste and its renowned unique quality to a whole new level.,RefinedNice tasting. Refreshing Drink Responsibly.,SKU: CH441GR0AXG8LNAFAMZ,NAFDAC No.: N/A,Model: Blended Scotch Whiskey,Product Line: Pernod Ricard,Weight (kg): 0.2,Grocery,"Beer, Wine & Spirits",Spirits & Liquors,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5)AppleWebKit /603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/00/377777/1.jpg?8674,Wireless FINGERPRINT Bluetooth Inpods12 TwsInpod WIRELESS EARBUDS BLUETOOTH 5.0 EARPODDS EARPHONE IPhone Android Touch, 3 979, how to use 1.tap the charging case power on switch2.open the charging case and take off the earbuds then eabuds auto power on and pairing important reminder the condition of earbuds auto power on is to turn on the switch of charging case 3.pair with the device 1 turn on bluetooth in the device2 search and connect to specification 1. model macaron 122.. bluetooth version 5.03.driver 15mm4. output power 40mw battery capacity 35mah charging box is 300mh .5. bluetooth distance 10 meters6. frequency response 20 20000hz7. operating voltage range 3.0v 4.2v8. powerful noise de noising circuit active noise reduction 9. charging time about 1 2 hours .10. talk time is about 2 3 hours a pair of earphones use together music time about 2 3 hours a pair of earphones use together charging box can charge for the earphons about 3 5 times. products include1 one pair of bluetooth headsets1 charging 1 charging cable1 user manualergonomically design ensure your headphones stay comfortable firm in the ears ,Mini in ear wireless invisible design Super Mini Size and hidden in the ear no wearing burden Ergonomic earphone design stable in the ear good for driving sports business or leisure Bluetooth ConnectionDeep DPS noise reduction microphone ensures clear call quality Voice prompt for pairing calling turn on off One function button for on off song switch language change receive call.,SKU: GE779CA0083HTNAFAMZ,Color: Black,Main Material: Plastic,Product Line: N&K Mall,Weight (kg): 0.01,Automobile,Car Electronics & Accessories,Car Electronics Accessories,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/854466/1.jpg?0652,Jones Wears Go Hard Printed Utility Short, 4 000 5 000,our shorts are easy to wash and quickly dry when you wash. it made of 100 cotton material. nice for both casual and cooperate. our sweatpants and joggers are made for extreme comfort fitted with pristine precision and finely crafted with the highest quality fabric. with these t shirts you do not only feel the difference in fitting and comfort but also have access to a wide range of style purposes. these joggers can be worn for different days in a plethora of ways. joneswears now has a history of creating functional yet stylish street wear covering everything from retro styles to forward thinking pieces.joneswears is a fast growing urbane clothier makes the best wardrobe for that awesome transition from corporate wears.with our fun and talking tees you do more than just look good you make a statement.,,SKU: JO089MW02W1QANAFAMZ,Color: Black,Main Material: cotton ,Product Line: JONESWEARS UNLIMITED,Weight (kg): 0.4,Sporting Goods,Sports & Fitness,Exercise & Fitness,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6)AppleWebKit /537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/31/921867/1.jpg?2546,Sony PS4 Wireless Controller Pad Play Station 4 Dual Shock Black, 7 600,the dualshock4 wireless controller features familiar controls while incorporating new ways to interact with games and other players. improved dual analog sticks and trigger buttons offer an even greater sense of control while the capacitive touch pad opens up endless potential for new gameplay possibilities. experience the evolution of play with the dualshock4 wireless controller.revolutionary. intuitive. precise.a revolutionary controller for a new era of gaming the dualshock 4 wireless controller features familiar playstation controls and innovative new additions such as a touch pad light bar and more.greatness awaits.touch padlocated on the top of the controller the touchpad offers gamers completely new ways to play and interact with games.light barthree leds offer a simpler way to easily identify players and quickly see useful game information like when a character is low on health or has taken major damage.share buttonshare triumphs and accomplishments by streaming live gameplay to ustream or uploading recorded videos to facebook.built in speaker and stereo headset jack portenjoy high fidelity sound effects of games from both the tv and also from the controller. chat with friends playing online with the bundled headset.new shapeimproved ergonomics means it s more comfortable to hold while improved analog sticks and buttons mean more precise control.enhanced vibrationmultiple vibration motors give games a greater degree of expression and heighten the sense of immersion for players. ,Never freezes at all or shuts down even when new firmware is updated on consolesWonderfully ergonomic design with responsive D Pad and best triggersExtended battery life for longer gamingA greater sense of control for all games Built in speaker and stereo headset jack port plug in any compatible headset,SKU: SO521EL0J072JNAFAMZ,Color: Black,Main Material: Plastic,Product Line: JACINTA COMPUTERS,Weight (kg): 0.21,Gaming,Playstation,PlayStation 4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5)AppleWebKit /603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8"
https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/74/549917/1.jpg?2335,Baby Walker With Light And Music, 10 000,the walker with a control handle is of high quality deluxe size and designed for comfort and with your baby s needs in mind. the walker is a breeze to set up clean and fold and it s easy and fun for your baby to use. along with the multi directional wheels that offer freedom of movement the extra wide base provides superior support and stability so your baby will enjoy playing and moving about. the walker has a large surround tray and removable toy bar the walker also features a three position height adjustable and high back padded seat for added comfort. it comes with unique control handle to enable you control your lovely baby s movement at ease. it is designed for high class mum. it compliments the your standard and brings out your standard and class. this baby walker will announce your baby before peers. it is lovely durable and very easy to assemble. the walker with a control handle is of high quality deluxe size and designed for comfort and with your baby s needs in mind. the walker is a breeze to set up clean and fold and it s easy and fun for your baby to use. along with the multi directional wheels that offer freedom of movement the extra wide base provides superior support and stability so your baby will enjoy playing and moving about. the walker has a large surround tray and removable toy bar the walker also features a three position height adjustable and high back padded seat for added comfort. it comes with unique control handle to enable you control your lovely baby s movement at ease. it is designed for high class mum. it compliments the your standard and brings out your standard and class. this baby walker will announce your baby before peers. it is lovely durable and very easy to assemble.,Colorful and durableIt has a pusherHigh padded back seat and spaciousIt has assorted toys to keep baby busy3 position height adjustableRemovable toy bar light and music,SKU: GE779TG18DV31NAFAMZ,Color: N/A,Main Material: Plastic and polyesther,Main Material: Plastic and polyesther,Weight (kg): 5,Baby Products,Gear,Walkers,Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Thunderbird/45.3.0
